Field,ID,RA_1,DEC_1,Z,PLATE,MJD,FIBERID,u_PStotal,J0378_PStotal,J0395_PStotal,J0410_PStotal,J0430_PStotal,g_PStotal,J0515_PStotal,r_PStotal,J0660_PStotal,i_PStotal,J0861_PStotal,z_PStotal
STRIPE82-0001,iDR3.STRIPE82-0001.008493,359.75017721038256,-1.1784143872188233,1.877628,1091,52902,190,20.75277,21.460642,21.24402,21.074627,20.967892,20.792765,20.516327,20.626755,20.5433,19.997236,20.265562,20.10971
STRIPE82-0001,iDR3.STRIPE82-0001.008509,0.5972752490748052,-1.1780026099282714,0.94,4354,55810,766,21.869293,21.83349,21.59038,21.50344,21.263088,21.438444,20.954714,21.152897,21.048367,21.13788,21.18997,20.538574
STRIPE82-0001,iDR3.STRIPE82-0001.008524,0.5450332142610103,-1.177591219223249,2.266,4216,55477,180,26.461811,99.0,21.332886,22.64767,23.266508,21.663113,21.413197,21.142456,21.192314,20.84076,20.667845,20.21716
STRIPE82-0001,iDR3.STRIPE82-0001.008618,0.0617849077634754,-1.1751917871248017,1.901439,685,52203,198,19.796051,19.959545,19.916092,19.833424,19.688583,19.62315,19.427425,19.512589,19.601246,19.414755,19.434439,19.32148
STRIPE82-0001,iDR3.STRIPE82-0001.008636,359.8209372871006,-1.1746932468107332,1.119,9159,57666,26,18.425133,18.321058,18.2771,18.157257,18.267902,18.18969,18.041082,17.904675,17.9347,17.923876,18.014101,17.931284
STRIPE82-0001,iDR3.STRIPE82-0001.008665,0.4401939225896599,-1.1741504752954015,1.0579900741577148,7850,56956,763,21.973522,21.630136,21.764585,21.533985,22.966297,21.795862,21.167397,21.518288,21.128487,21.209105,22.118402,20.939503
STRIPE82-0001,iDR3.STRIPE82-0001.009144,359.6068159400839,-1.1610835891432405,2.02,4354,55810,566,22.411598,22.671144,99.0,99.0,22.7053,22.226086,21.517218,22.216328,22.362526,21.91198,21.038733,20.681412
STRIPE82-0001,iDR3.STRIPE82-0001.009607,0.224011681782682,-1.1477047931760525,1.517600178718567,7850,56956,724,21.00965,20.913218,20.303843,20.861156,20.962797,21.006674,21.630136,20.803677,20.907032,20.625504,20.338846,20.374752
STRIPE82-0001,iDR3.STRIPE82-0001.009664,0.5921043955234421,-1.145910455872575,2.332,7850,56956,806,22.205502,21.781433,21.865871,20.922077,21.28044,21.625708,21.615858,21.425484,22.228203,22.085247,21.51686,22.900848
STRIPE82-0001,iDR3.STRIPE82-0001.010398,359.3396784808729,-1.123431194898768,2.322,7850,56956,568,21.5717,22.83108,21.45561,21.390217,22.155842,21.499886,21.381493,21.463497,21.43797,20.870111,20.538218,20.328747
